1380:	learn: 0.0735621	test: 0.0770132	best: 0.0770132 (1380)	total: 2m 6s	remaining: 56.9s
1390:	learn: 0.0735254	test: 0.0770165	best: 0.0770132 (1380)	total: 2m 7s	remaining: 56s
1400:	learn: 0.0734887	test: 0.0769913	best: 0.0769913 (1400)	total: 2m 8s	remaining: 55s
1410:	learn: 0.0734443	test: 0.0769680	best: 0.0769680 (1410)	total: 2m 9s	remaining: 54.1s
1420:	learn: 0.0733991	test: 0.0769612	best: 0.0769612 (1420)	total: 2m 10s	remaining: 53.2s
1430:	learn: 0.0733636	test: 0.0769677	best: 0.0769612 (1420)	total: 2m 11s	remaining: 52.3s
1440:	learn: 0.0732973	test: 0.0769266	best: 0.0769266 (1440)	total: 2m 12s	remaining: 51.3s
1450:	learn: 0.0732373	test: 0.0768976	best: 0.0768976 (1450)	total: 2m 13s	remaining: 50.4s
1460:	learn: 0.0731940	test: 0.0768788	best: 0.0768788 (1460)	total: 2m 14s	remaining: 49.5s
1470:	learn: 0.0731219	test: 0.0768385	best: 0.0768385 (1470)	total: 2m 15s	remaining: 48.6s
1480:	learn: 0.0730809	test: 0.0768208	best: 0.0768208 (1480)	total: 2m 15s	remaining: 47.7s
1490:	learn: 0.0730339	test: 0.0768016	best: 0.0768016 (1490)	total: 2m 16s	remaining: 46.7s
1500:	learn: 0.0729965	test: 0.0767973	best: 0.0767973 (1500)	total: 2m 17s	remaining: 45.8s
1510:	learn: 0.0729689	test: 0.0767975	best: 0.0767973 (1500)	total: 2m 18s	remaining: 44.9s
1520:	learn: 0.0729217	test: 0.0767957	best: 0.0767957 (1520)	total: 2m 19s	remaining: 44s
1530:	learn: 0.0728849	test: 0.0767916	best: 0.0767916 (1530)	total: 2m 20s	remaining: 43.1s
1540:	learn: 0.0728440	test: 0.0767804	best: 0.0767804 (1540)	total: 2m 21s	remaining: 42.2s
1550:	learn: 0.0728128	test: 0.0767766	best: 0.0767766 (1550)	total: 2m 22s	remaining: 41.3s
1560:	learn: 0.0727752	test: 0.0767639	best: 0.0767639 (1560)	total: 2m 23s	remaining: 40.3s
1570:	learn: 0.0727163	test: 0.0767336	best: 0.0767336 (1570)	total: 2m 24s	remaining: 39.4s
1580:	learn: 0.0726868	test: 0.0767364	best: 0.0767336 (1570)	total: 2m 25s	remaining: 38.5s
1590:	learn: 0.0726218	test: 0.0766888	best: 0.0766888 (1590)	total: 2m 26s	remaining: 37.6s
1600:	learn: 0.0725814	test: 0.0766780	best: 0.0766780 (1600)	total: 2m 27s	remaining: 36.7s
1610:	learn: 0.0725485	test: 0.0766649	best: 0.0766649 (1610)	total: 2m 28s	remaining: 35.8s
1620:	learn: 0.0725062	test: 0.0766471	best: 0.0766471 (1620)	total: 2m 29s	remaining: 34.8s
1630:	learn: 0.0724648	test: 0.0766300	best: 0.0766300 (1630)	total: 2m 29s	remaining: 33.9s
1640:	learn: 0.0724263	test: 0.0766291	best: 0.0766291 (1640)	total: 2m 30s	remaining: 33s
1650:	learn: 0.0723869	test: 0.0766243	best: 0.0766243 (1650)	total: 2m 31s	remaining: 32.1s
1660:	learn: 0.0723615	test: 0.0766253	best: 0.0766243 (1650)	total: 2m 32s	remaining: 31.2s
1670:	learn: 0.0722975	test: 0.0766000	best: 0.0766000 (1670)	total: 2m 33s	remaining: 30.2s
1680:	learn: 0.0722375	test: 0.0765847	best: 0.0765847 (1680)	total: 2m 34s	remaining: 29.3s
1690:	learn: 0.0721597	test: 0.0765538	best: 0.0765538 (1690)	total: 2m 35s	remaining: 28.4s
1700:	learn: 0.0721224	test: 0.0765441	best: 0.0765441 (1700)	total: 2m 36s	remaining: 27.5s
1710:	learn: 0.0720830	test: 0.0765337	best: 0.0765337 (1710)	total: 2m 37s	remaining: 26.6s
1720:	learn: 0.0720435	test: 0.0765152	best: 0.0765152 (1720)	total: 2m 38s	remaining: 25.6s
1730:	learn: 0.0720017	test: 0.0764999	best: 0.0764999 (1730)	total: 2m 39s	remaining: 24.7s
1740:	learn: 0.0719599	test: 0.0764856	best: 0.0764856 (1740)	total: 2m 40s	remaining: 23.8s
1750:	learn: 0.0718995	test: 0.0764751	best: 0.0764751 (1750)	total: 2m 40s	remaining: 22.9s
1760:	learn: 0.0718477	test: 0.0764485	best: 0.0764485 (1760)	total: 2m 41s	remaining: 22s
1770:	learn: 0.0718142	test: 0.0764494	best: 0.0764485 (1760)	total: 2m 42s	remaining: 21.1s
1780:	learn: 0.0717493	test: 0.0764242	best: 0.0764242 (1780)	total: 2m 43s	remaining: 20.1s
1790:	learn: 0.0717187	test: 0.0764209	best: 0.0764209 (1790)	total: 2m 44s	remaining: 19.2s
1800:	learn: 0.0716806	test: 0.0764173	best: 0.0764173 (1800)	total: 2m 45s	remaining: 18.3s
1810:	learn: 0.0716470	test: 0.0763946	best: 0.0763946 (1810)	total: 2m 46s	remaining: 17.4s
1820:	learn: 0.0716060	test: 0.0763911	best: 0.0763911 (1820)	total: 2m 47s	remaining: 16.5s
